pair,variant,tf,entry_date,exit_date,side,entry_price,sl,exit_reason,pnl,r_multiple
OP,ST-V2,5m,2026-05-17 06:10:00+00:00,2026-05-17 11:00:00+00:00,long,0.1334,0.1326,sl,0.0001,0.1
OP,ST-V2,5m,2026-05-17 12:25:00+00:00,2026-05-17 23:15:00+00:00,short,0.1324,0.1341,tp2,0.0027,1.6
OP,ST-V2,5m,2026-05-18 03:50:00+00:00,2026-05-18 07:10:00+00:00,short,0.1282,0.1291,tp2,0.0015,1.6
OP,ST-V2,5m,2026-05-18 13:10:00+00:00,2026-05-18 13:30:00+00:00,long,0.1281,0.1271,sl,-0.001,-1.0
STORJ,ST-V2,5m,2026-05-16 05:35:00+00:00,2026-05-16 07:00:00+00:00,short,0.1311,0.134,tp2,0.0046,1.6
STORJ,ST-V2,5m,2026-05-16 14:40:00+00:00,2026-05-16 15:45:00+00:00,short,0.119,0.1213,sl,-0.0023,-1.0
STORJ,ST-V2,5m,2026-05-16 19:40:00+00:00,2026-05-16 20:00:00+00:00,short,0.1203,0.1212,sl,-0.0009,-1.0
STORJ,ST-V2,5m,2026-05-17 00:30:00+00:00,2026-05-17 00:40:00+00:00,long,0.1212,0.1197,tp2,0.0024,1.6
STORJ,ST-V2,5m,2026-05-17 07:05:00+00:00,2026-05-17 13:45:00+00:00,long,0.1199,0.1175,sl,0.0002,0.1
STORJ,ST-V2,5m,2026-05-18 17:00:00+00:00,2026-05-18 18:10:00+00:00,long,0.1113,0.1103,sl,-0.001,-1.0
STORJ,ST-V2,5m,2026-05-18 21:55:00+00:00,2026-05-19 02:05:00+00:00,long,0.1114,0.11,tp2,0.0023,1.6
ZEC,ST-V2,5m,2026-05-15 19:00:00+00:00,2026-05-16 01:20:00+00:00,short,520.29,525.097,tp2,7.6911,1.6
ZEC,ST-V2,5m,2026-05-16 02:15:00+00:00,2026-05-16 04:30:00+00:00,short,512.16,519.1291,tp2,11.1505,1.6
